City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,simanggang,1.2472,111.4528,23.99,94,20,1.03,MY,1712450068
292,wladyslawowo,54.7909,18.4009,11.63,98,95,4.53,PL,1712450068
293,bloemfontein,-29.1211,26.214,14.71,82,58,5.14,ZA,1712449812
294,la rinconada,37.4873,-5.9826,20.59,73,100,0.45,ES,1712450069
295,bandar-e anzali,37.4727,49.4622,12.01,78,100,2.42,IR,1712450042
296,paharpur,32.1038,70.9724,22.61,20,0,3.27,PK,1712450069
297,lamu,-2.2717,40.902,27.74,83,100,4.02,KE,1712450069
298,chauk,20.8833,94.8167,31.42,52,10,4.08,MM,1712450069
299,gamboma,-1.8764,15.8644,23.8,88,100,0.53,CG,1712450070
300,harper,4.375,-7.7169,27.45,84,85,1.91,LR,1712449783
301,pyt-yakh,60.7499,72.8582,-14.08,91,8,1.18,RU,1712450070
302,djenne,13.9061,-4.5533,35.78,26,100,1.81,ML,1712450070
303,omaruru,-21.4333,15.9333,19.42,45,3,1.3,NA,1712450070
304,lev tolstoy,53.2134,39.446,4.91,77,11,1.88,RU,1712449939
305,cheremushki,52.8356,91.3944,8.3,85,92,1.59,RU,1712450071
306,takoradi,4.8845,-1.7554,27.47,86,9,2.18,GH,1712450000
307,vorkuta,67.5,64.0,-9.38,93,100,6.26,RU,1712450071
308,manta,-0.95,-80.7333,26.88,74,20,3.58,EC,1712449819
309,basco,20.4487,121.9702,27.65,80,6,9.59,PH,1712450072
310,weno,7.4515,151.8468,28.97,84,100,6.69,FM,1712450072
311,chipinge,-20.1883,32.6236,18.23,96,100,1.67,ZW,1712450072
312,colonia,50.9333,6.95,21.09,46,0,2.57,DE,1712449896
313,copiapo,-27.3667,-70.3333,12.83,60,0,0.91,CL,1712449945
314,pangody,65.85,74.4859,-12.2,92,16,6.02,RU,1712450073
315,burley,42.5357,-113.7928,4.98,64,40,10.8,US,1712450001
316,east london,-33.0153,27.9116,19.12,70,100,7.67,ZA,1712450073
317,peniche,39.3558,-9.3811,14.69,94,59,3.07,PT,1712450073
318,souillac,-20.5167,57.5167,25.21,94,20,1.54,MU,1712449864
319,ratnagiri,16.9833,73.3,25.97,62,5,2.08,IN,1712450074
320,westport,41.1415,-73.3579,8.9,59,100,8.75,US,1712449795
321,placer,39.0666,-120.7677,9.05,64,100,1.79,US,1712450074
322,belgrade,44.804,20.4651,15.81,63,0,1.54,RS,1712449239
323,vlore,40.4667,19.4897,14.56,71,31,3.03,AL,1712450074
324,melekeok village,7.4957,134.6367,30.31,70,75,4.12,PW,1712450074
325,kailua-kona,19.6406,-155.9956,26.98,83,0,6.69,US,1712449814
326,katsuura,35.1333,140.3,15.59,91,100,4.6,JP,1712450075
327,kibakwe,-6.7167,36.3667,16.86,95,67,1.23,TZ,1712450075
328,fada,9.5667,8.3,24.81,62,66,1.37,NG,1712450075
329,bulawayo,-20.15,28.5833,17.12,95,100,4.39,ZW,1712450012
330,island harbour,50.724,-1.2758,12.39,83,6,5.36,GB,1712449966
331,gargalianoi,37.0667,21.6333,14.64,69,81,3.29,GR,1712450076
332,inari,68.906,27.0288,-12.89,93,10,1.96,FI,1712450076
333,kamiiso,41.8167,140.65,11.21,66,0,2.57,JP,1712450076
334,la sarre,48.8002,-79.1996,0.46,89,100,2.92,CA,1712450022
